BeatmapID,TotalWeightedPP,AppearanceCount,Placements,Title,DifficultyName
1475722,1874.1734,2,"1,83",Crystalia,Meal's Ultra
4917965,2597.73,4,"2,61,5,24",The Edge Of Glory,lady gaga motorcycle
5027876,6099.6379,15,"3,18,31,16,15,72,4,32,18,90,19,73,91,75,6",Sweets Holic (Cut Ver.),Lemaire's Ex
4792613,1751.8841,6,"4,88,70,34,81,82",Zetsubou plantation (Cut Ver.),-AzuMi's Extreme
1724319,2119.7126,3,"5,21,26",Anoneanoneanoneanoneanoneanoneanoneanone Kouji ga Okureteruno,Anone
4786514,3133.6528,15,"6,86,74,14,27,24,91,80,79,18,15,33,82,89,61",Zetsubou plantation (Cut Ver.),Despair
5544732,66568.389,101,"7,22,1,2,1,9,6,1,19,1,2,1,2,2,73,10,1,1,15,2,74,10,1,1,19,1,1,33,2,5,13,10,7,1,11,25,36,79,11,1,25,99,6,4,12,3,10,11,18,13,33,83,1,29,1,1,11,1,33,27,1,3,1,8,26,5,4,1,22,4,26,1,6,71,8,25,15,3,9,28,29,3,1,8,2,35,5,6,23,8,10,55,10,72,6,86,2,1,47,9,1",overture,omni's hometown
5124997,2591.8538,8,"8,19,94,47,11,50,37,12",Oroka na Ketsumatsu,Ideology
1811527,8288.5698,29,"9,73,55,1,92,96,7,2,82,9,12,33,34,32,80,5,16,83,90,85,89,100,96,67,100,55,55,97,50",Save Me,Nightmare
4860513,7794.4897,22,"10,32,4,27,6,30,12,47,9,96,8,84,36,8,51,90,62,9,64,29,49,73",Polar 240,Blizzard
4808501,8475.8566,24,"11,46,41,21,11,4,8,86,84,1,14,24,85,4,85,86,85,88,28,69,15,25,21,41",Zetsubou plantation (Cut Ver.),Plasma's Extreme
4967007,1901.2624,8,"12,48,33,85,5,84,60,92",Temptation (feat. Rebecca) (Nightcore Mix),Tylerderp's Extreme
4921872,2286.1747,14,"13,90,18,78,92,96,100,66,37,38,13,100,22,59",Title Screen,The Game of Video Quick Draw
5774158,9715.7932,22,"14,4,10,94,12,5,2,9,48,25,2,1,20,69,11,11,34,51,65,88,78,58",The Eye Of Eternity,Greater than Gods
5047713,1457.6844,5,"15,22,21,83,78",Songs Compilation VI,Marathon
5047712,2344.521,8,"16,33,8,100,32,29,83,64",Songs Compilation VI,Collab Extra
5423181,34713.3181,101,"17,87,33,68,35,13,3,43,23,79,2,42,12,60,100,14,31,8,59,30,11,98,29,2,46,2,24,82,29,61,80,5,18,2,47,9,4,11,11,57,20,94,4,46,27,3,92,10,55,25,13,53,27,1,40,34,52,3,9,23,13,18,52,13,21,7,78,87,7,70,40,61,42,74,17,16,6,7,55,51,6,54,2,4,5,16,26,15,36,2,21,61,39,62,11,38,2,23,32,43,16",Presenter* (Cut Ver.),Merry Christmas!!
1909555,2448.5355,12,"18,63,15,37,89,31,89,5,70,74,49,94",Walk This Way!,Ultra
