Player,PlayerID,OldPP,WeightedUP,AverageDelta,AverageFactor
mrekk,7562902,32207.652431993516,34050.64318975768,35.8498073370573,0.22189187614925499
cryshina,14715160,31819.046237362592,31911.979143185596,8.609047800168,0.3669287315880506
Accolibed,9269034,29802.832793419893,30895.380423111335,25.70338300738852,0.26604643486315827
NINERIK,10549880,29629.63216491362,30321.844926793616,6.525561030821441,0.3518045345977636
Ivaxa,15406985,28050.4656963806,29612.124608180096,11.573418476895688,0.34326600289714937
lifeline,11367222,26019.492639086006,28127.594768626434,60.907803190597825,0.13185680213579629
liliel,13108233,26550.587641844282,27918.045204373047,29.80974525955058,0.22393029875041368
sytho,4175698,26273.076192312255,26479.92055860422,-9.959202278748482,0.43253293601312925
gnahus,12779141,24849.08998460364,25120.736531597537,5.126229917279712,0.2192229088169407
NyanPotato,13211727,24808.973428615456,24800.14912271272,-15.847741498481469,0.36988482958942553
killer2007,8251785,24008.200204519548,24705.02436386733,-2.0234091783040253,0.3498549535612103
PLOXARU,6404583,23943.260644053044,24157.59234909883,-2.7367253369281705,0.40547812033631997
Chicony,5199332,22483.778783527978,24130.460513194776,35.099557764421945,0.2263406814044962
bored yes,21207816,24645.843384289707,24011.74659167793,-16.70586215527304,0.2967009030578272
ferret irl,6725771,23329.902706968613,23656.550178123365,-8.279423188916684,0.43141082378762685
Zylice,5033077,23963.18351858479,23619.837543194,-11.530965988049916,0.37443013001946496
jahkon,12137295,24417.103076226194,23401.796264536904,-25.91293136744788,0.38562504314773
JappaDeKappa,11496364,23693.359568546846,23329.459083639074,-9.430233702118398,0.30715115655974645
cloppit,19851850,23202.199916743655,22868.271207643535,-19.131789113197996,0.37478818517358525
aimbotcone,12952320,22330.58903249661,22616.249594837387,-1.0538843292206912,0.28789608555063384
reused,11626318,22158.03352529048,22288.76669901318,-7.031794691196007,0.3787412550621025
ASecretBox,7341183,21761.501137276322,22154.656859852486,-21.71676730158379,0.4735774499929152
cloutiful,9970083,23237.188365942355,22124.269986399566,-25.97458608168282,0.38446411040553796
superi0r,17235399,22535.5740432665,22041.702899370604,-33.906629912345316,0.6308598281357859
enri,8640970,21962.62510907549,21830.844016840787,-21.47380987911367,0.4257545503600192
creator,13962152,22229.838181141153,21735.377782320946,-10.53026751425333,0.25567912217533934
OnlyHadley,17730661,22652.812993468844,21681.797337621756,-31.949256348033003,0.5463701428183123
Kamensh1k,16817965,21103.343227882502,21461.627213355674,1.3788264395530836,0.2613553824851929
originset,25444680,22465.794645407233,21453.87785471688,-35.03981719233029,0.5210834115031185
yamss,6600930,20038.717604526508,21200.8938081087,36.731073617234934,0.1329305257208276
PinkEyeFan2013,13609904,21165.07372947724,21149.13525898408,-11.49007409341689,0.36968318580622495
smozhen,12873118,21612.80107682947,21122.852725260982,-29.92494335552562,0.544983596054054
El Merami,12834269,21700.58740811967,21027.497233671387,-18.07601482279928,0.49644410037918874
nujabes,12258658,21656.904754360978,20974.138354101204,-16.94317113409281,0.42768644366717995
aknzx,9938943,21705.433081285413,20970.5142442124,-30.085487024569957,0.4935831484326421
Vudek,8816345,21414.462041232797,20900.978487365268,-7.681932218146873,0.13914603518635266
ChocoPafe,8856806,20130.912632279906,20855.05106607837,-1.5952306500293991,0.3100915792669128
FlyingTuna,9224078,20812.702667772937,20814.670383906898,-8.825885402559383,0.28514670296619415
freezes,15296720,20921.493172681872,20800.345307270512,-15.58957946894223,0.40511303371181884
WindowLife,4108547,20323.43348775363,20794.52965257175,5.312175620488439,0.2020821712960459
plambob,10077431,20774.22187320316,20776.805672301805,-1.7981179728296877,0.19210127384124698
atlas,9074780,20849.176358448534,20759.541213524233,-6.352808920480611,0.34392512237135675
shimon,7525949,20401.340679262303,20669.087573704164,-4.180423402541866,0.28106938541028054
MALISZEWSKI,12408961,19377.90001705842,20604.54509323089,7.204440452122515,0.27986187864763035
MINHOCA LOKA,10651184,19977.47979416322,20372.781064862967,-1.411251997267043,0.2686538893192081
milktea0019,9642774,20027.215814352305,20060.176492151433,-3.158376192062233,0.21269538904341737
aspen,17707250,18479.230593008528,20047.564747883018,46.962147017336456,0.104496084123932
Dereban,4882979,17967.439610421043,20046.63071327493,63.431949578722836,0.03742817942667898
